OBJECTID,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type,Datasource_DT
21,Backbone,Buffer Bike Lane,FIGUEROA ST,12TH ST,PICO BL,,2018/06/24 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
22,Backbone,Lane,FIGUEROA ST,21ST ST,22ND ST,,2018/06/24 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
23,Backbone,Protected Bike Lane,FIGUEROA ST,28TH ST,28TH ST,,2018/06/24 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
24, ,Protected Bike Lane,FIGUEROA ST,37TH ST ,STATE DR,,2018/06/24 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
25,,Protected Bike Lane,WALGROVE AVE,DEWEY ST,AIRPORT AVE,,2016/09/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
26,Backbone,Protected Bike Lane,FIGUEROA ST,32ND ST,33RD ST,,2018/06/24 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
27,Backbone,Route,FIGUEROA ST,AVENUE 44,AVENUE 43,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
28,Backbone,Lane,GAFFEY ST,BATTERY ST,CHANNEL ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
29,Backbone,Lane,GRIFFITH PARK BL,LOS FELIZ BL,WOOD TE,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
30,Backbone,Lane,GRIFFITH PARK BL,MONON ST,ST GEORGE ST,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
31,Backbone,Buffer Bike Lane,GRIFFITH PARK BL,ANGUS ST,TRACY ST,,2020/09/22 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
32,Backbone,Buffer Bike Lane,LAUREL CANYON BL,TIARA ST,CALIFA ST,,2020/04/23 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
33,Backbone,Lane,LAUREL CANYON BL,WEDDINGTON ST,MAGNOLIA BL,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
34,Backbone,Buffer Bike Lane,LAUREL CANYON BL,OXNARD ST,TIARA ST,,2020/04/23 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
35,Backbone,Lane,LAUREL CANYON BL,HUSTON ST,LA MAIDA ST,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
36,Backbone,Lane,LAUREL CANYON BL,HESBY ST,ADDISON ST,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
37,Backbone,Lane,"MARTIN LUTHER KING, JR BL",BUCKINGHAM RD,HILLCREST DR,,2011/05/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
38,Backbone,Lane,"MARTIN LUTHER KING, JR BL",COLISEUM ST,NICOLET AV,,2011/05/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
39,Backbone,Route,MESA ST,21ST ST,22ND ST,,2005/01/01 00:00:00+00,Harbor,Route,2023/10/17 00:00:00+00
40,Backbone,Lane,MULHOLLAND DR,VALMAR RD,CALABASAS RD,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
41,Backbone,Lane,MULHOLLAND DR,FLAMINGO ST,MANSON AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
42,Backbone,Lane,MULHOLLAND DR,DESERET DR,VALMAR RD,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
43,Backbone,Lane,MYRA AV,GATEWAY AV,LEXINGTON AV,,2009/08/05 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
44,Backbone,Lane,PACIFIC AV,22ND ST,23RD ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
45,Backbone,Lane,PACIFIC AV,26TH ST,28TH ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
46,Backbone,Protected Bike Lane,PLATT AV,VANOWEN ST,WELBY WY,,2019/08/30 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
47,Backbone,Lane,RESEDA BL,STRATHERN ST,ARMINTA ST,,2011/03/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
48,Backbone,Lane,RESEDA BL,COHASSET ST,VALERIO ST,,2011/03/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
49,Backbone,Lane,RESEDA BL,ARMINTA ST,INGOMAR ST,,2011/03/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
50,Backbone,Route,RINALDI ST,AMBOY AV,ACALA AV,,2005/01/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
51,Backbone,Lane,RIVERSIDE DR,GREENBUSH AV,SUNNYSLOPE AV,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
52,Backbone,Lane,RIVERSIDE DR,ST CLAIR AV,LAURELGROVE AV,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
53,Backbone,Lane,RIVERSIDE DR,LA MAIDA ST,COLDWATER CANYON AV,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
54,Backbone,Lane,ROSCOE BL,LENA AV,JONATHAN ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
55,Backbone,Route,ROSCOE BL,OWENSMOUTH AV,TOPANGA CANYON BL,,2005/01/01 00:00:00+00,West Valley,Route,2023/10/17 00:00:00+00
56,Backbone,Lane,SEPULVEDA BL,SHERMAN OAKS AV,HIGH KNOLL RD,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
57,Backbone,Lane,SEPULVEDA BL,STEVEN DR,DARTFORD WY,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
58,Backbone,Lane,SEPULVEDA BL,74TH ST,SEPULVEDA BL (PVT),,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
59,Backbone,Protected Bike Lane,SHERMAN WY,WOODLAKE AV,BALMORAL LN,,2022/03/14 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
60,Backbone,Lane,SHERMAN WY,CASE AV,CASE AV,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
61,Backbone,Lane,SUNSET BL,QUINTERO ST,SUTHERLAND ST,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
62,Backbone,Lane,SUNSET BL,EDGECLIFFE DR,LUCILE AV,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
63,Backbone,Lane,SUNSET BL,PARK AV,ALVARADO ST,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
64,Backbone,Lane,SUNSET BL,MANZANITA ST,BATES AV,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
65,Backbone,Lane,VALLEY CIRCLE BL,90' S/O LONG VALLEY RD,VENTURA FY,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
66,Backbone,Route,VERMONT AV,EXPOSITION BL,38TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
67,Backbone,Route,VERMONT AV,38TH ST,39TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
68,Backbone,Lane,VICTORY BL,LOCKHURST DR,SHELTONDALE AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
69,Backbone,Lane,WASHINGTON BL,OCEAN AV,GRAYSON AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
70,Backbone,Lane,WESTWOOD BL,HOLMAN AV,MASSACHUSETTS AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
71,Neighborhood,Buffer Bike Lane,AVENUE 50,MILO TE,SAN RAFAEL AV,,2022/01/11 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
72,Neighborhood,Route,AVENUE 50,MERIDIAN ST,STRATFORD RD,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
73,Neighborhood,Lane,AVALON BL,R ST,CHANDLER ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
74,Neighborhood,Route,BARRINGTON AV,NAVY ST,INDIANAPOLIS ST,,2005/01/01 00:00:00+00,West Los Angeles,Route,2023/10/17 00:00:00+00
75,Neighborhood,Route,CAMPUS RD,HAZELWOOD AV,ALUMNI AV,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
76,Neighborhood,Route,CAMPUS RD,MUNSON AV,AVENUE 47,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
77,Neighborhood,Route,CAPISTRANO AV,HATTERAS ST,MIRANDA ST,,2005/01/01 00:00:00+00,West Valley,Route,2023/10/17 00:00:00+00
78,Neighborhood,Route,GAYLEY AV,LANDFAIR AV,LE CONTE AV,,2005/01/01 00:00:00+00,West Los Angeles,Route,2023/10/17 00:00:00+00
79,Neighborhood,Route,HAYVENHURST AV,MOORPARK ST,VENTURA BL,,2005/01/01 00:00:00+00,West Valley,Route,2023/10/17 00:00:00+00
80,Neighborhood,Lane,HOOVER ST,17TH ST,18TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
81,Neighborhood,Buffer Bike Lane,STRATHERN ST,RHODES AV,WILKINSON AV,,2022/11/22 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
82, ,Lane,FOOTHILL BL,MATHER AV,NASSAU AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
83, ,Buffer Bike Lane,VENTURA BL,SALE AV,PONCE AV,,2023/08/23 00:00:00+00,West Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
84, ,Lane,VAN NUYS BL,SUTTER AV,SAN FERNANDO RD,,2012/12/28 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
85, ,Lane,VAN NUYS BL,RALSTON AV,SUTTER AV,,2012/12/28 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
86, ,Buffer Bike Lane,VAN NUYS BL,HERRICK AV,NORRIS AV,,2020/01/30 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
87, ,Buffer Bike Lane,VAN NUYS BL,PALA AV,RALSTON AV,,2020/01/30 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
88, ,Buffer Bike Lane,VAN NUYS BL,DE GARMO AV,DE FOE AV,,2020/01/30 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
89, ,Buffer Bike Lane,VAN NUYS BL,NORRIS AV,LEHIGH AV,,2020/01/30 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
90,Neighborhood,Sharrowed Route,ASTORIA ST,HERRICK AV,WOODCOCK AV,,2011/10/02 00:00:00+00,Valley,Sharrowed Route,2023/10/17 00:00:00+00
91,Neighborhood,Sharrowed Route,ASTORIA ST,FOOTHILL BL,BROMONT AV,,2011/10/02 00:00:00+00,East Valley,Sharrowed Route,2023/10/17 00:00:00+00
92,Backbone,Lane,BRAND BL,ARLETA AV,NOBLE AV,,2013/01/18 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
93,Backbone,Lane,BRAND BL,NOBLE AV,COLUMBUS AV,,2013/01/18 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
94, ,Lane,TUJUNGA AV,AQUA VISTA ST,DILLING ST,,2013/01/18 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
95, ,Lane,TUJUNGA AV,VALLEY SPRING LN,AQUA VISTA ST,,2013/01/18 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
96, ,Lane,TUJUNGA AV,DILLING ST,VENTURA BL,,2013/01/18 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
97,Backbone,Lane,SHERMAN WY,JORDAN AV,VASSAR AV,,2013/01/18 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
98,Backbone,Lane,SHERMAN WY,VASSAR AV,TOPANGA CANYON BL,,2013/01/18 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
99,Backbone,Lane,BURTON WY,LE DOUX RD,HOLT AV,,2013/01/27 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
100, ,Lane,CANOGA AV,SAN JOSE ST,DEVONSHIRE ST,,2014/02/22 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
101, ,Sharrowed Route,SESNON BL,OROZCO ST,MEADOWLARK AV,,2014/04/07 00:00:00+00,West Valley,Sharrowed Route,2023/10/17 00:00:00+00
102, ,Lane,CALIFA ST,VASSAR AV,TOPANGA CANYON BL,,2014/05/27 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
103, ,Lane,CALIFA ST,VASSAR AV,TOPANGA CANYON BL,,2014/05/27 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
104,Backbone,Route,FIGUEROA ST,Q ST,PACIFIC COAST HY,,2005/01/01 00:00:00+00,Harbor,Route,2023/10/17 00:00:00+00
105,Backbone,Route,FIGUEROA ST,340' S/O LOMITA BL,Q ST,,2005/01/01 00:00:00+00,Harbor,Route,2023/10/17 00:00:00+00
106, ,Lane,GRAND AV,33RD ST,33RD ST,,2014/05/20 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
107, ,Lane,GRAND AV,38TH ST,39TH ST,,2014/05/20 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
108, ,Lane,1ST ST,WESTMORELAND AV,MADISON AV,,2014/04/28 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
109, ,Lane,CHASE ST,SYLMAR AV,KATHERINE AV,,2014/04/28 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
110,Neighborhood,Route,HOOVER ST,88TH ST,90TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
111,Neighborhood,Route,HOOVER ST,51ST ST,52ND ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
112,Neighborhood,Route,HOOVER ST,55TH ST,56TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
113,Neighborhood,Route,HOOVER ST,62ND ST,62ND ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
114,Neighborhood,Route,HOOVER ST,54TH ST,55TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
115,Neighborhood,Route,HOOVER ST,81ST ST,82ND ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
116,Neighborhood,Route,HOOVER ST,94TH ST,95TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
117,Neighborhood,Route,HOOVER ST,COLDEN AV,97TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
118,Neighborhood,Route,HOOVER ST,97TH ST,97TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
119,Neighborhood,Route,HOOVER ST,84TH ST,85TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
120, ,Lane,120TH ST,STANFORD AV,AVALON BL,,2013/08/25 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
121, ,Lane,120TH ST,MCKINLEY AV,STANFORD AV,,2013/08/25 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
122, ,Lane,120TH ST,SPRING ST,BROADWAY,,2013/08/25 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
123, ,Lane,SAWTELLE BL,NINA PL,CULVER DR,,2013/09/09 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
124, ,Lane,WHITE OAK AV,BULLOCK ST,HATTERAS ST,,2013/09/23 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
125, ,Lane,LAGOON AV,F ST,E ST,,2013/09/23 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
126, ,Lane,LAGOON AV,ANAHEIM ST,G ST,,2013/09/23 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
127, ,Lane,EUBANK AV,DOLORES ST,SANDISON ST,,2013/09/23 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
128, ,Lane,ROXBURY DR,PECK DR,VIDOR DR,,2013/10/18 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
129, ,Lane,ROXBURY DR,PICO BL,CASHIO ST,,2013/10/18 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
130, ,Protected Bike Lane,FOOTHILL BL,EXCELSIOR ST,YARNELL ST,,2023/04/13 00:00:00+00,East Valley,Protected Bike Lane,2023/10/17 00:00:00+00
131, ,Buffer Bike Lane,FOOTHILL BL,COBALT ST,BROMONT AV,,2014/06/18 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
132, ,Buffer Bike Lane,FOOTHILL BL,BROMONT AV,ARARAT ST,,2014/06/18 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
133,Backbone,Lane,JOHN S GIBSON BL,HARBOR DEPT RD (PVT),HARBOR FY N/B ON,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
134, ,Buffer Bike Lane,E ST,BROAD AV,AVALON BL,,2013/06/17 00:00:00+00,Harbor,Buffer Bike Lane,2023/10/17 00:00:00+00
135, ,Buffer Bike Lane,COLORADO BL,VINCENT AV,MT ROYAL DR,,2013/10/04 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
136, ,Buffer Bike Lane,VIA MARISOL,VIA COLINA,VIA COLINA,,2012/05/13 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
137, ,Buffer Bike Lane,VIA MARISOL,VIA ARBOLADA,VIA ARBOLADA,,2012/05/13 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
138, ,Lane,VAN NUYS BL,TUPPER ST,NORDHOFF ST,,2013/04/07 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
139, ,Lane,FOOTHILL BL,APPERSON ST,YATES ST,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
140, ,Lane,FOOTHILL BL,MOUNTAIR AV,VALMONT ST,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
141, ,Lane,FOOTHILL BL,ELMO ST,MOUNTAIR AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
142, ,Buffer Bike Lane,VENTURA BL,GOMERES RD,ROYER AV,,2023/08/23 00:00:00+00,West Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
143, ,Lane,VAN NUYS BL,BORDEN AV,GLENOAKS BL,,2012/12/28 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
144, ,Lane,VAN NUYS BL,DRONFIELD AV,SPROULE AV,,2012/12/28 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
145, ,Buffer Bike Lane,VAN NUYS BL,DE HAVEN AV,DE GARMO AV,,2020/01/30 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
146,Neighborhood,Sharrowed Route,ASTORIA ST,WOODCOCK AV,NORRIS AV,,2011/10/02 00:00:00+00,East Valley,Sharrowed Route,2023/10/17 00:00:00+00
147,Neighborhood,Sharrowed Route,ASTORIA ST,BRADLEY AV,RALSTON AV,,2011/10/02 00:00:00+00,East Valley,Sharrowed Route,2023/10/17 00:00:00+00
148,Neighborhood,Lane,TAMPA AV,HOLLOW SPRINGS DR,PINE VALLEY AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
149, ,Buffer Bike Lane,VENICE BL,3RD AV,4TH AV,,2020/11/20 00:00:00+00,South Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
150, ,Lane,SAN VICENTE BL,TREMAINE AV,LONGWOOD AV,,2012/12/20 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
151, ,Lane,SAN VICENTE BL,CITRUS AV,LA BREA AV,,2012/12/20 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
152, ,Protected Bike Lane,SAN VICENTE BL,175' W/O MANSFIELD AV,ORANGE DR,,2022/10/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
153, ,Protected Bike Lane,SAN VICENTE BL,ORANGE DR,SYCAMORE AV,,2022/10/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
154,Backbone,Protected Bike Lane,MANCHESTER AV,FORDHAM RD,LINCOLN BL,,2022/04/20 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
155, ,Buffer Bike Lane,VINELAND AV,LULL ST,SATICOY ST,,2021/04/16 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
156, ,Buffer Bike Lane,VINELAND AV,SATICOY ST,COHASSET ST,,2021/04/16 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
157, ,Lane,VINELAND AV,STAGG ST,KESWICK ST,,,East Valley,Lane,2023/10/17 00:00:00+00
158, ,Buffer Bike Lane,VINELAND AV,STRATHERN ST,ARMINTA ST,,2021/01/08 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
159, ,Buffer Bike Lane,VINELAND AV,KESWICK ST,LULL ST,,2021/04/16 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
160, ,Buffer Bike Lane,VINELAND AV,ARMINTA ST,STAGG ST,,2021/01/08 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
161,Neighborhood,Sharrowed Route,NEW HAMPSHIRE AV,BEVERLY BL,COUNCIL ST,,2011/10/02 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
162,Backbone,Lane,DEVONSHIRE ST,WOODMAN AV,LEMONA AV,,2012/02/26 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
163,Backbone,Lane,EAGLE ROCK BL,AVENUE 34,ESTARA AV,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
164,Neighborhood,Lane,RAMPART BL,3RD ST,4TH ST,,2012/03/04 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
165,Backbone,Lane,DEVONSHIRE ST,ANDASOL AV,ENCINO AV,,2012/03/31 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
166,Backbone,Route,WESTWOOD BL,LA GRANGE AV,MISSISSIPPI AV,,2005/01/01 00:00:00+00,West Los Angeles,Route,2023/10/17 00:00:00+00
167,Backbone,Route,WESTWOOD BL,MISSISSIPPI AV,OLYMPIC BL,,2005/01/01 00:00:00+00,West Los Angeles,Route,2023/10/17 00:00:00+00
168,Neighborhood,Lane,WOODLEY AV,RAYEN ST,PARTHENIA ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
169,Backbone,Lane,SEPULVEDA BL,REGENT ST,VENICE BL,,2012/04/06 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
170,Backbone,Lane,SEPULVEDA BL,REGENT ST,VENICE BL,,2012/04/06 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
171,Backbone,Lane,SEPULVEDA BL,CHARNOCK RD,REGENT ST,,2012/04/06 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
172,Backbone,Lane,WHITE OAK AV,CANTLAY ST,SHERMAN WY,,2012/05/06 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
